index,pc,var
0,94,0.005763788658955088
1,32,0.005545819805224869
2,28,0.004946670846192243
3,69,0.004427931719950456
4,30,0.0041856919822642145
5,50,0.004135149782423549
6,23,0.00410997013904706
7,24,0.0039740933811937725
8,3,0.003794949168941784
9,5,0.0037097535921770224
10,39,0.0036824096179652217
11,12,0.0036137391673333116
12,138,0.0035511905065212486
13,34,0.0034728359195239085
14,122,0.0034469838466308356
15,60,0.0033026266334574214
16,44,0.003294126705096227
17,1,0.003286895262194995
18,16,0.003186573841774408
19,20,0.003154744212746168
20,49,0.0031525764558243286
21,41,0.0031185079357141294
22,19,0.00304652435558838
23,53,0.002979957729911955
24,61,0.002916831262859826
25,45,0.0027992358267671692
26,115,0.002773961973008398
27,10,0.0027567628785363954
28,47,0.0026630411547312887
29,14,0.0026486470126544518
30,58,0.002637851504892378
31,0,0.002628359993281732
32,202,0.0026233054189609742
33,4,0.0025874608245524617
34,71,0.002582085548180232
35,7,0.0025491632328879703
36,232,0.0025109266015957282
37,104,0.0024995838988305587
38,75,0.0024915098230206133
39,18,0.002488756545114855
40,133,0.0024775787942481306
41,63,0.0024578636715486993
42,43,0.002451570601341156
43,211,0.0023941869641420964
44,163,0.0023349848420425303
45,70,0.002330144821031624
46,33,0.002259958519830835
47,59,0.00223093095182828
48,54,0.0021756794883591624
49,35,0.0021739900965054926
50,82,0.0021680271946226625
51,102,0.0021668121769706167
52,146,0.002158604894989682
53,26,0.0021537125349728272
54,25,0.0021381402840781904
55,15,0.00211363426678741
56,265,0.002099486516946416
57,74,0.0020900754645979073
58,67,0.002084268480006677
59,38,0.0020830705145626566
60,52,0.002068181507098777
61,220,0.0020370117140983005
62,64,0.002021226699353545
63,158,0.0020123035339261264
64,29,0.001981800727453378
65,216,0.0019778346364583486
66,98,0.0019442791159109483
67,66,0.0019328432791388063
68,155,0.0018946259395041288
69,36,0.001889119764049423
70,56,0.0018738200782232282
71,136,0.001873513419132449
72,31,0.00186862250384307
73,151,0.0018590196767828183
74,128,0.0018470830632631627
75,170,0.001837464619217879
76,270,0.0018317942730817353
77,258,0.001827926372949934
78,103,0.001815653618404602
79,143,0.0017807793757160565
80,225,0.0017652631688940769
81,73,0.001757335290822485
82,92,0.0017381921444596636
83,40,0.001729804387504768
84,107,0.0017251573910716867
85,237,0.0017226785107578545
86,127,0.0017177180043305696
87,130,0.0016970690271398518
