index,pc,var
0,5,0.0052815764143930135
1,295,0.004455097308040955
2,30,0.0040100626328051754
3,36,0.0037988352836038513
4,3,0.0037453056768688353
5,278,0.0037110863279550916
6,0,0.0036969146270218333
7,33,0.0036756679777505304
8,72,0.0036236808928511873
9,98,0.0034229696573644343
10,78,0.003192107063005472
11,279,0.0030866690876821916
12,7,0.002960720369872781
13,1,0.0028860247659648897
14,81,0.0028311663822743827
15,44,0.002829060423450252
16,283,0.002785415627301506
17,94,0.002734941388602018
18,107,0.0026957501129114226
19,103,0.0026894366816164607
20,265,0.0026733808379529045
21,297,0.0026606313665720116
22,291,0.0026591010300909264
23,38,0.002651197445754068
24,76,0.002605859435182093
25,286,0.0026019575328509415
26,25,0.002595492318497326
27,29,0.0025841291027214413
28,88,0.002533093085837978
29,6,0.0024870661420876147
30,50,0.002482509857452123
31,140,0.0024787288750008616
32,246,0.0024712449458666333
33,18,0.0024674320907950736
34,17,0.0024644954241819293
35,13,0.0024423607887594954
36,208,0.002442167648642884
37,26,0.002428033705966488
38,230,0.0024016942315652624
39,37,0.0023925814959533526
40,51,0.0023819875501400124
41,285,0.002376281756018937
42,67,0.002374063445780393
43,288,0.0023712376397576882
44,85,0.002361810559286157
45,236,0.002356291929869778
46,190,0.0023546629244824875
47,264,0.00234819190299857
48,62,0.002319522959948341
49,64,0.0022867870129599744
50,207,0.0022763205737510346
51,89,0.0022592056562170835
52,41,0.0022567058196898693
53,247,0.0022511459391316856
54,167,0.0022373345590568634
55,277,0.0022202508052929417
56,244,0.0022150499598641384
57,128,0.0022138780677630272
58,63,0.0022098326622936476
59,261,0.0021897752313188384
60,222,0.002169947001804024
61,166,0.0021593443799775795
62,2,0.0021538947865441726
63,43,0.002150304739640854
64,280,0.0021503037849216946
65,20,0.002126547234812476
66,99,0.0021224962905508184
67,139,0.0021196291657147822
68,290,0.00211321525793968
69,289,0.0021116688199148193
70,196,0.0021006673251439513
71,110,0.0020831187545152737
72,116,0.0020828859927475504
73,53,0.0020781436996200955
74,60,0.0020753949012079645
75,194,0.0020615266080790105
76,75,0.0020501237771213495
77,260,0.0020391585691417486
78,164,0.002038734298819191
79,106,0.0020135876596161467
80,292,0.001998311437808727
81,218,0.001976735604713557
82,39,0.0019689159628939394
83,124,0.0019350418833627176
