index,pc,var
0,1,0.021094510462072478
1,0,0.008666821488085688
2,13,0.007023864026408071
3,297,0.005559646978361055
4,87,0.0049884641197679505
5,66,0.004905679915071973
6,25,0.004838485304456868
7,28,0.0046233273592045905
8,20,0.004126960755837725
9,63,0.004022900776635871
10,70,0.0037834168963345642
11,3,0.0037133058392662395
12,50,0.0036541115752038796
13,56,0.0035708181550734583
14,64,0.0035663319344093965
15,11,0.0032777986419806155
16,60,0.0031251694968931244
17,49,0.0030750482166653622
18,39,0.0030518399834680303
19,80,0.0029493389262249684
20,14,0.002916214473414381
21,45,0.0028944231525163053
22,8,0.0027675332420410864
23,32,0.002726997245064551
24,299,0.002672357552278776
25,96,0.0026714573181114048
26,10,0.002634877855991201
27,23,0.002609205147324602
28,33,0.0025870738657930454
29,105,0.00258693198447342
30,62,0.0025705282610021087
31,142,0.002566610157184032
32,123,0.0025606281588785988
33,296,0.002550636762704418
34,21,0.002502321830656659
35,34,0.0024231686084187766
36,143,0.0023608665152293293
37,172,0.002336293873655429
38,4,0.002313354492722108
39,158,0.002294194757775662
40,126,0.0022687591502275908
41,40,0.0022299143032771976
42,119,0.0022125390233221132
43,195,0.002177682636084426
44,291,0.0021326096448609526
45,190,0.0021279010384889986
46,298,0.0021160886823103566
47,47,0.002112157640902599
48,27,0.00206351775361107
49,294,0.002056407366096995
50,73,0.0020353482342353514
51,282,0.0020323842594735654
52,161,0.002021185315087049
53,134,0.002015136476824774
54,155,0.0019841438292151447
55,89,0.0019836799770456648
56,93,0.0019753015998491075
57,77,0.001962828480544413
58,54,0.0019215126716837646
59,239,0.0019191727152236598
60,220,0.0019183413164875769
61,29,0.0019115987846637838
62,223,0.0018986428718567841
63,235,0.0018948687359918275
64,247,0.001864959817079687
65,71,0.0018491129408614293
66,188,0.0018355844273036691
67,91,0.0017935005880335766
68,94,0.0017882996930084182
69,210,0.001780955490064084
70,147,0.001760491060955796
71,127,0.001755258241974297
72,18,0.00174982502385073
73,48,0.0017493268708219831
74,52,0.0017491382752103496
75,200,0.0017159901131870773
76,22,0.0017094496498954192
77,184,0.0016711085699530788
78,43,0.0016676443072116234
79,292,0.0016616208426894344
80,61,0.0016550463358905893
81,38,0.0016446395820820152
82,185,0.0016329200096758915
83,260,0.001632434364717015
84,162,0.0016089952935955656
85,259,0.001586523738173207
86,176,0.0015699088272424912
87,204,0.0015695313353176618
88,145,0.0015547768237232354
89,103,0.00153971201205652
90,169,0.0015152862710573274
91,254,0.0015086836301448309
92,167,0.0014923993196363137
93,201,0.0014814723028153298
94,154,0.001464156720615912
95,166,0.0014615721609165242
96,224,0.0014484027101552065
97,90,0.0014255793390193906
98,140,0.001397398371885129
99,7,0.0013966942599429452
100,173,0.0013945416708446468
101,262,0.0013913813717222347
102,24,0.0013852737039471799
103,280,0.0013838988326051245
104,242,0.0013724088214332032
105,163,0.0013696438330982241
106,85,0.001369620128995364
107,2,0.0013669610563541352
108,131,0.0013533579028698014
109,111,0.0013531660704265177
110,78,0.0013484415699378078
111,83,0.0013455697490412203
112,221,0.0013415528537155817
113,252,0.0013408575772949605
114,88,0.0013395130397797158
115,248,0.0013394631874471387
116,148,0.0013340171265699623
117,253,0.0013271394808673331
118,281,0.0013232136877090962
119,153,0.001302964453935988
120,258,0.0012994585925303523
121,205,0.00128854431123312
122,129,0.0012850127136623942
123,114,0.0012844107245827117
124,203,0.001276925482540773
125,240,0.00126994732706056
126,213,0.0012674428422173136
127,276,0.0012493684169737702
128,44,0.0012460516932098428
129,17,0.0012418800822029444
130,237,0.0012384754973526549
131,189,0.0012289768999925
132,151,0.001227081577030469
133,246,0.001224364627285386
134,231,0.0012232238945697142
135,293,0.0012217304732323477
136,59,0.001218258631383564
137,86,0.0012170473943564956
138,283,0.0012151978917314219
139,249,0.0011936808644224782
140,46,0.0011913499848379822
141,245,0.001190944159181804
142,138,0.0011902802094049315
143,183,0.0011876139674456639
144,117,0.0011867989683830254
145,266,0.0011841345382449522
146,197,0.0011802322767687408
147,208,0.0011788725922138035
148,26,0.0011751086509292695
149,30,0.001137285001951436
150,265,0.0011371741602077166
151,35,0.0011371094527088438
152,57,0.001127168663330044
