word_1,word_2,x_1,x_2,x_axis,y_1,y_2,y_axis
0,0,-0.056106701493263245,-0.056106701493263245,1,0.16608098149299622,0.16608098149299622,0
1,-1,-0.04339541867375374,-0.03945142403244972,1,0.14432118833065033,0.19374319911003113,0
2,-2,0.005489008035510778,-0.03187510743737221,1,0.18417684733867645,0.18418537080287933,0
3,-3,0.0314459390938282,-0.03174378350377083,1,0.20396165549755096,0.1682584285736084,0
4,-4,0.048250794410705566,-0.04141966253519058,1,0.17955128848552704,0.16527199745178223,0
5,-5,0.0571257621049881,-0.008365033194422722,1,0.16189613938331604,0.18791137635707855,0
6,-6,0.06064099445939064,-0.02051123045384884,1,0.14734624326229095,0.14321450889110565,0
7,-7,0.08781193196773529,-0.021067027002573013,1,0.15491920709609985,0.15462777018547058,0
8,-8,0.07161419093608856,-0.033307913690805435,1,0.16279825568199158,0.17014139890670776,0
9,-9,0.07696238160133362,-0.02682115137577057,1,0.1589050143957138,0.14490780234336853,0
10,-10,0.0865759626030922,-0.028196783736348152,1,0.16720053553581238,0.2106453776359558,0
11,-11,0.10186636447906494,-0.017988750711083412,1,0.1453847885131836,0.10471861809492111,0
12,-12,0.08394712209701538,-0.027168355882167816,1,0.1575012505054474,0.1264449954032898,0
13,-13,0.09954975545406342,-0.057036519050598145,1,0.12950776517391205,0.0935540646314621,0
14,-14,0.09672731161117554,-0.0321684367954731,1,0.13026396930217743,0.07607867568731308,0
15,-15,0.09958440810441971,-0.02390361577272415,1,0.14157132804393768,0.13716553151607513,0
16,-16,0.08527282625436783,-0.062458399683237076,1,0.142508864402771,0.10023776441812515,0
17,-17,0.10297750681638718,-0.0037350549828261137,1,0.12589353322982788,0.08987631648778915,0
18,-18,0.08663324266672134,-0.05489157512784004,1,0.1282038688659668,0.11129210889339447,0
19,-19,0.1016668975353241,-0.052304185926914215,1,0.11791122704744339,0.03743363916873932,0
20,-20,0.08267716318368912,-0.02878519520163536,1,0.14848995208740234,0.15529972314834595,0
21,-21,0.09703724086284637,-0.03074263036251068,1,0.12374545633792877,0.04885193333029747,0
22,-22,0.09100821614265442,-0.07847094535827637,1,0.11670242995023727,0.05965321511030197,0
23,-23,0.09765897691249847,-0.09637180715799332,1,0.11377204209566116,0.05664952099323273,0
24,-24,0.1128266453742981,-0.06568451970815659,1,0.13478367030620575,0.08086894452571869,0
25,-25,0.1003100723028183,-0.025824928656220436,1,0.11703389137983322,0.12103632837533951,0
26,-26,0.133255273103714,-0.0910533145070076,1,0.12052033096551895,0.06905512511730194,0
27,-27,0.12111392617225647,-0.08344779908657074,1,0.11532878875732422,0.03335610032081604,0
28,-28,0.12349458038806915,-0.14115217328071594,1,0.12411331385374069,0.00857952143996954,0
29,-29,0.1331315040588379,-0.10691817849874496,1,0.12713997066020966,0.05737759917974472,0
30,-30,0.10347078740596771,-0.027914056554436684,1,0.14099328219890594,0.14856497943401337,0
31,-31,0.10489586740732193,-0.12815850973129272,1,0.1106402799487114,0.025743680074810982,0
32,-32,0.1442907750606537,-0.1843777745962143,1,0.14774195849895477,0.0854824036359787,0
33,-33,0.15663780272006989,-0.14033612608909607,1,0.11728626489639282,0.03347257524728775,0
34,-34,0.1591365784406662,-0.15410439670085907,1,0.12795351445674896,-0.0031223343685269356,0
35,-35,0.15546806156635284,-0.07267555594444275,1,0.12031840533018112,0.06058518961071968,0
36,-36,0.14354722201824188,-0.1342916637659073,1,0.13419321179389954,0.008843573741614819,0
37,-37,0.16249598562717438,-0.1447661966085434,1,0.12269751727581024,0.01649159938097,0
38,-38,0.1560635268688202,-0.1837531477212906,1,0.11984377354383469,-0.004548138473182917,0
39,-39,0.18201419711112976,-0.14283466339111328,1,0.12854556739330292,0.01571028307080269,0
40,-40,0.1333058625459671,-0.03159521892666817,1,0.1580263078212738,0.20053799450397491,0
41,-41,0.1522834748029709,-0.2045752853155136,1,0.12812650203704834,-0.011615196242928505,0
42,-42,0.16257542371749878,-0.12436262518167496,1,0.14205807447433472,0.02445659227669239,0
43,-43,0.1659209281206131,-0.13873906433582306,1,0.12268652021884918,0.02970772236585617,0
44,-44,0.15673395991325378,-0.15554288029670715,1,0.11795389652252197,0.03800243139266968,0
45,-45,0.14988325536251068,-0.07393603771924973,1,0.1269533336162567,0.08872121572494507,0
46,-46,0.16627034544944763,-0.1533622443675995,1,0.11932843178510666,0.012310786172747612,0
47,-47,0.17717912793159485,-0.11434482038021088,1,0.12342322617769241,-0.07396534830331802,0
48,-48,0.1532779335975647,-0.14988842606544495,1,0.14433376491069794,0.043450646102428436,0
49,-49,0.16029317677021027,-0.14966171979904175,1,0.1268748939037323,-0.02590293437242508,0
50,-50,0.11393821239471436,-0.05068002641201019,1,0.1709115207195282,0.19154180586338043,0
51,-51,0.1582629233598709,-0.12891891598701477,1,0.12451137602329254,-0.022408772259950638,0
